stop_id,stop_name,stop_lon,stop_lat
istb.192224,BOSTANCI KÖPRÜSÜ,29.10613,40.9644
istb.183577,BELEDİYE SİTESİ,29.02474,41.07693
istb.183579,TALİM YERİ,29.0282,41.07331
istb.183581,TURİZM SİTESİ,29.02969,41.07028
istb.183583,ULUS MAHALLESİ,29.03032,41.06661
istb.183585,ÇAMLITEPE,29.03069,41.0649
istb.183588,ESENEVLER,29.03117,41.05942
istb.183596,T.R.T.,29.02979,41.05761
istb.183598,PORTAKAL YOKUŞU,29.02919,41.05564
istb.183600,KÖPRÜ AYAĞI,29.02867,41.05219
istb.183604,ZÜBEYDE HN.KIZ LİSES,29.02644,41.05048
istb.183605,ZÜBEYDE HN.KIZ LİSES,29.02611,41.05026
istb.183601,KÖPRÜ AYAĞI,29.02895,41.05238
istb.183599,PORTAKAL YOKUŞU,29.02933,41.05553
istb.183597,T.R.T.,29.02972,41.05663
istb.183589,ESENEVLER,29.03154,41.0599
istb.183586,ÇAMLITEPE,29.03063,41.06541
istb.183584,ULUS MAHALLESİ,29.03042,41.0667
istb.183582,TURİZM SİTESİ,29.02973,41.0706
istb.183580,TALİM YERİ,29.02814,41.07383
istb.183578,BELEDİYE SİTESİ,29.02642,41.07647
istb.183532,POLİS OKULU,29.02329,41.0788
istb.191103,ÜSKÜDAR,29.01558,41.02636
istb.191182,ALTINŞEHİR MAH.,29.14322,41.01633
istb.186789,IHLAMUR EVLERİ,29.14557,41.01616
istb.191184,ÇAYIRÖNÜ,29.14873,41.016
istb.191186,ÜMR. İMAM HATİP LİS.,29.15459,41.01652
istb.186000,OSMANGAZİ,29.15716,41.01673
istb.191188,DUDULLU,29.16155,41.01621
istb.185003,N. FAZIL KISAKÜREK,29.16505,41.01645
istb.191192,ÇEKMEKÖY SAPAĞI,29.16804,41.01983
istb.191911,ÇEKMEKÖY YOLU,29.1681,41.02192
istb.191915,ULUS CAD.,29.16931,41.02444
istb.191917,ACAR SOKAK,29.17102,41.0282
istb.187159,KÜLTÜR SOKAK,29.17299,41.03147
istb.191919,MİMAR SİNAN CD.,29.17444,41.03281
istb.191976,SİTELER,29.17745,41.03257
istb.191540,ÖZDİL SOKAK,29.18082,41.03197
istb.191978,REFAH CAMİİ,29.1821,41.03092
istb.191979,TEPE,29.18249,41.02855
istb.191981,DEREYOLU,29.18131,41.02563
istb.184854,YOLAĞZI,29.18316,41.02439
istb.185503,KARDELEN,29.18484,41.02296
istb.184856,HAMİDİYE,29.18827,41.02138
